
2024/07/04 (15:16:02) | ===> btop++ v.1.3.2
2024/07/04 (15:16:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/04 (15:16:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/04 (18:16:18) | ===> btop++ v.1.3.2
2024/07/04 (18:16:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/04 (18:16:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/04 (19:19:44) | ===> btop++ v.1.3.2
2024/07/04 (19:19:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/04 (19:19:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/04 (23:48:35) | ===> btop++ v.1.3.2
2024/07/04 (23:48:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/04 (23:48:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/04 (23:54:52) | ===> btop++ v.1.3.2
2024/07/04 (23:54:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/04 (23:54:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/04 (23:55:04) | ===> btop++ v.1.3.2
2024/07/04 (23:55:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/04 (23:55:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/05 (11:52:20) | ===> btop++ v.1.3.2
2024/07/05 (11:52:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/05 (11:52:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/05 (15:30:31) | ===> btop++ v.1.3.2
2024/07/05 (15:30:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/05 (15:30:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/05 (15:30:39) | ===> btop++ v.1.3.2
2024/07/05 (15:30:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/05 (15:30:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/05 (18:16:04) | ===> btop++ v.1.3.2
2024/07/05 (18:16:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/05 (18:16:04) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/05 (18:30:43) | ===> btop++ v.1.3.2
2024/07/05 (18:30:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/05 (18:30:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/05 (18:30:48) | ===> btop++ v.1.3.2
2024/07/05 (18:30:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/05 (18:30:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (10:49:08) | ===> btop++ v.1.3.2
2024/07/07 (10:49:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/07 (10:49:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (11:18:44) | ===> btop++ v.1.3.2
2024/07/07 (11:18:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/07 (11:18:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (11:49:55) | ===> btop++ v.1.3.2
2024/07/07 (11:49:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/07 (11:49:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (16:51:08) | ===> btop++ v.1.3.2
2024/07/07 (16:51:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/07 (16:51:08) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/07 (16:51:44) | ===> btop++ v.1.3.2
2024/07/07 (16:51:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/07 (16:51:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/08 (18:06:18) | ===> btop++ v.1.3.2
2024/07/08 (18:06:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/08 (18:06:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/09 (09:52:50) | ===> btop++ v.1.3.2
2024/07/09 (09:52:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/09 (09:52:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/09 (10:15:46) | ===> btop++ v.1.3.2
2024/07/09 (10:15:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/09 (10:15:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/09 (15:51:52) | ===> btop++ v.1.3.2
2024/07/09 (15:51:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/09 (15:51:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/09 (15:52:05) | ===> btop++ v.1.3.2
2024/07/09 (15:52:05) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/09 (15:52:05) | WARNING: NVML: Failed to get GPU power usage: Not Supported
